transaction_id,timestamp,user_id,user_role,transaction_type,electricity_quantity,price_per_mwh,total_cost,latency_ms,security_level,encryption_method,zt_authentication,network_slice_id,transaction_status
TXN2824,2025-02-14 10:01:42,U5506,Dealer,Buy,22.56,31.02,699.81,28,Low,AES,0,Slice_C,Pending
TXN1520,2025-02-14 10:02:02,U2535,Dealer,Buy,55.48,30.27,1679.38,11,Low,RSA,0,Slice_A,Pending
TXN5557,2025-02-14 10:55:15,U1106,Dealer,Sell,40.62,31.55,1281.56,29,Medium,AES,1,Slice_A,Pending
TXN2584,2025-02-14 10:24:30,U6635,Authority,N/A,0.0,0.0,0.0,13,High,TDKE,1,Slice_C,Pending
TXN9785,2025-02-14 10:08:31,U7201,Dealer,Sell,84.65,36.19,3063.48,16,Low,AES,0,Slice_C,Success
TXN1750,2025-02-14 10:45:08,U4733,Supplier,Buy,86.98,38.66,3362.65,17,Medium,RSA,1,Slice_C,Pending
TXN3664,2025-02-14 10:25:16,U6820,Dealer,Sell,73.16,36.84,2695.21,7,Low,AES,0,Slice_C,Failed
TXN5010,2025-02-14 10:11:09,U8573,Supplier,Sell,99.06,36.4,3605.78,22,High,TDKE,1,Slice_C,Pending
TXN1916,2025-02-14 10:15:38,U1525,Supplier,Sell,34.1,32.11,1094.95,23,Low,RSA,0,Slice_A,Failed
TXN9179,2025-02-14 10:27:00,U8517,Dealer,Sell,22.57,37.45,845.25,22,Medium,RSA,1,Slice_C,Pending
TXN6930,2025-02-14 10:14:58,U3266,Authority,N/A,0.0,0.0,0.0,20,High,TDKE,1,Slice_A,Success
TXN3504,2025-02-14 10:42:50,U3621,Authority,N/A,0.0,0.0,0.0,18,Low,AES,0,Slice_B,Pending
TXN8668,2025-02-14 10:36:07,U5119,Authority,N/A,0.0,0.0,0.0,5,Low,AES,0,Slice_C,Failed
TXN5371,2025-02-14 10:52:28,U6573,Dealer,Sell,49.13,34.54,1696.95,28,Low,RSA,0,Slice_C,Success
TXN9317,2025-02-14 10:07:15,U5889,Authority,N/A,0.0,0.0,0.0,21,Low,AES,0,Slice_A,Pending
TXN3646,2025-02-14 10:36:49,U9689,Dealer,Sell,53.97,31.12,1679.55,16,Medium,AES,1,Slice_A,Success
